NSample,Dimension,Distribution,prob
40,100,Gaussian,0.0075
40,110,Gaussian,0.015
40,120,Gaussian,0.0325
40,130,Gaussian,0.055
40,140,Gaussian,0.1125
40,150,Gaussian,0.155
40,160,Gaussian,0.1725
40,170,Gaussian,0.2075
40,180,Gaussian,0.265
40,190,Gaussian,0.3575
40,200,Gaussian,0.4775
40,210,Gaussian,0.4925
40,220,Gaussian,0.5
40,230,Gaussian,0.5375
40,240,Gaussian,0.5925
40,250,Gaussian,0.6425
40,260,Gaussian,0.715
40,270,Gaussian,0.7375
40,280,Gaussian,0.7475
40,290,Gaussian,0.8
40,300,Gaussian,0.8175
40,310,Gaussian,0.84
40,320,Gaussian,0.9
40,330,Gaussian,0.89
40,340,Gaussian,0.9
40,350,Gaussian,0.9125
40,360,Gaussian,0.9025
40,370,Gaussian,0.9375
40,380,Gaussian,0.9325
40,390,Gaussian,0.95
40,400,Gaussian,0.9375
40,410,Gaussian,0.9725
40,420,Gaussian,0.9725
40,430,Gaussian,0.9525
40,440,Gaussian,0.975
40,450,Gaussian,0.97
40,460,Gaussian,0.9775
40,470,Gaussian,0.9875
40,480,Gaussian,0.975
40,490,Gaussian,0.9825
40,500,Gaussian,0.985
40,510,Gaussian,1.0
40,520,Gaussian,0.9925
40,530,Gaussian,0.9975
40,540,Gaussian,0.9925
40,550,Gaussian,0.9925
40,560,Gaussian,0.995
40,570,Gaussian,0.9975
40,580,Gaussian,0.995
40,590,Gaussian,1.0
40,600,Gaussian,0.9925
40,610,Gaussian,0.995
40,620,Gaussian,0.9975
40,630,Gaussian,1.0
40,640,Gaussian,0.9975
40,650,Gaussian,1.0
40,660,Gaussian,0.9975
40,670,Gaussian,1.0
40,680,Gaussian,0.9975
40,690,Gaussian,1.0
40,700,Gaussian,1.0
40,710,Gaussian,1.0
40,720,Gaussian,1.0
40,730,Gaussian,1.0
40,740,Gaussian,1.0
40,750,Gaussian,1.0
40,760,Gaussian,0.9975
40,770,Gaussian,1.0
40,780,Gaussian,1.0
40,790,Gaussian,1.0
40,800,Gaussian,1.0
40,810,Gaussian,1.0
40,820,Gaussian,0.9975
40,830,Gaussian,1.0
40,840,Gaussian,0.9975
40,850,Gaussian,1.0
40,860,Gaussian,1.0
40,870,Gaussian,1.0
40,880,Gaussian,1.0
40,890,Gaussian,1.0
40,900,Gaussian,1.0
40,910,Gaussian,1.0
40,920,Gaussian,1.0
40,930,Gaussian,1.0
40,940,Gaussian,1.0
40,950,Gaussian,1.0
40,960,Gaussian,1.0
