NSample,Dimension,Distribution,prob
40,100,Gaussian,0.00375
40,110,Gaussian,0.01125
40,120,Gaussian,0.0375
40,130,Gaussian,0.05875
40,140,Gaussian,0.08625
40,150,Gaussian,0.15125
40,160,Gaussian,0.19
40,170,Gaussian,0.24875
40,180,Gaussian,0.29375
40,190,Gaussian,0.3625
40,200,Gaussian,0.4275
40,210,Gaussian,0.46625
40,220,Gaussian,0.5125
40,230,Gaussian,0.57875
40,240,Gaussian,0.60625
40,250,Gaussian,0.63875
40,260,Gaussian,0.68875
40,270,Gaussian,0.74375
40,280,Gaussian,0.77125
40,290,Gaussian,0.79625
40,300,Gaussian,0.8125
40,310,Gaussian,0.8425
40,320,Gaussian,0.86875
40,330,Gaussian,0.875
40,340,Gaussian,0.905
40,350,Gaussian,0.90625
40,360,Gaussian,0.91375
40,370,Gaussian,0.92375
40,380,Gaussian,0.93375
40,390,Gaussian,0.93
40,400,Gaussian,0.9525
40,410,Gaussian,0.9575
40,420,Gaussian,0.97
40,430,Gaussian,0.96875
40,440,Gaussian,0.975
40,450,Gaussian,0.97125
40,460,Gaussian,0.9725
40,470,Gaussian,0.9775
40,480,Gaussian,0.98375
40,490,Gaussian,0.98875
40,500,Gaussian,0.99125
40,510,Gaussian,0.98875
40,520,Gaussian,0.99
40,530,Gaussian,0.99375
40,540,Gaussian,0.99125
40,550,Gaussian,0.995
40,560,Gaussian,0.995
40,570,Gaussian,0.99125
40,580,Gaussian,0.9975
40,590,Gaussian,0.99625
40,600,Gaussian,0.99875
40,610,Gaussian,1.0
40,620,Gaussian,0.9975
40,630,Gaussian,0.995
40,640,Gaussian,0.9975
40,650,Gaussian,0.99875
40,660,Gaussian,0.9975
40,670,Gaussian,0.9975
40,680,Gaussian,1.0
40,690,Gaussian,1.0
40,700,Gaussian,0.9975
40,710,Gaussian,0.99875
40,720,Gaussian,1.0
40,730,Gaussian,1.0
40,740,Gaussian,1.0
40,750,Gaussian,0.99875
40,760,Gaussian,1.0
40,770,Gaussian,1.0
40,780,Gaussian,0.99875
40,790,Gaussian,1.0
40,800,Gaussian,1.0
40,810,Gaussian,1.0
40,820,Gaussian,1.0
40,830,Gaussian,1.0
40,840,Gaussian,1.0
40,850,Gaussian,1.0
40,860,Gaussian,1.0
40,870,Gaussian,1.0
40,880,Gaussian,0.99875
40,890,Gaussian,1.0
40,900,Gaussian,1.0
40,910,Gaussian,1.0
40,920,Gaussian,1.0
40,930,Gaussian,1.0
40,940,Gaussian,1.0
40,950,Gaussian,1.0
40,960,Gaussian,1.0
40,970,Gaussian,1.0
40,980,Gaussian,1.0
40,990,Gaussian,1.0
42,100,Gaussian,0.0025
42,110,Gaussian,0.00625
42,120,Gaussian,0.015
42,130,Gaussian,0.02875
42,140,Gaussian,0.07375
42,150,Gaussian,0.09125
42,160,Gaussian,0.1275
42,170,Gaussian,0.17375
42,180,Gaussian,0.235
42,190,Gaussian,0.30375
42,200,Gaussian,0.30625
42,210,Gaussian,0.395
42,220,Gaussian,0.45375
42,230,Gaussian,0.495
42,240,Gaussian,0.54875
42,250,Gaussian,0.585
42,260,Gaussian,0.66125
42,270,Gaussian,0.65875
42,280,Gaussian,0.7025
42,290,Gaussian,0.7275
42,300,Gaussian,0.75875
42,310,Gaussian,0.7925
42,320,Gaussian,0.77375
42,330,Gaussian,0.835
42,340,Gaussian,0.86625
42,350,Gaussian,0.86875
42,360,Gaussian,0.89
42,370,Gaussian,0.9125
42,380,Gaussian,0.91875
42,390,Gaussian,0.9175
42,400,Gaussian,0.9325
42,410,Gaussian,0.94875
42,420,Gaussian,0.94875
42,430,Gaussian,0.95125
42,440,Gaussian,0.9575
42,450,Gaussian,0.9725
42,460,Gaussian,0.96625
42,470,Gaussian,0.9675
42,480,Gaussian,0.97125
42,490,Gaussian,0.98375
42,500,Gaussian,0.9825
42,510,Gaussian,0.98125
42,520,Gaussian,0.98875
42,530,Gaussian,0.99125
42,540,Gaussian,0.98875
42,550,Gaussian,0.98875
42,560,Gaussian,0.99625
42,570,Gaussian,0.99125
42,580,Gaussian,0.9925
42,590,Gaussian,0.9975
42,600,Gaussian,0.9975
42,610,Gaussian,0.995
42,620,Gaussian,0.99875
42,630,Gaussian,1.0
42,640,Gaussian,0.995
42,650,Gaussian,1.0
42,660,Gaussian,0.99625
42,670,Gaussian,0.9975
42,680,Gaussian,1.0
42,690,Gaussian,0.99875
42,700,Gaussian,0.99625
42,710,Gaussian,1.0
42,720,Gaussian,1.0
42,730,Gaussian,1.0
42,740,Gaussian,0.9975
42,750,Gaussian,1.0
42,760,Gaussian,0.9975
42,770,Gaussian,1.0
42,780,Gaussian,1.0
42,790,Gaussian,1.0
42,800,Gaussian,1.0
42,810,Gaussian,1.0
42,820,Gaussian,1.0
42,830,Gaussian,1.0
42,840,Gaussian,0.99875
42,850,Gaussian,1.0
42,860,Gaussian,1.0
42,870,Gaussian,1.0
42,880,Gaussian,1.0
42,890,Gaussian,1.0
42,900,Gaussian,1.0
42,910,Gaussian,1.0
