NSample,Dimension,Distribution,prob
10,80,Gaussian,0.4525
10,85,Gaussian,0.445
10,90,Gaussian,0.465
10,95,Gaussian,0.5075
10,100,Gaussian,0.55
10,105,Gaussian,0.5225
10,110,Gaussian,0.57
10,115,Gaussian,0.545
10,120,Gaussian,0.5575
10,125,Gaussian,0.565
10,130,Gaussian,0.6
10,135,Gaussian,0.5575
10,140,Gaussian,0.5475
10,145,Gaussian,0.58
10,150,Gaussian,0.635
10,155,Gaussian,0.6
10,160,Gaussian,0.665
10,165,Gaussian,0.5975
10,170,Gaussian,0.605
10,175,Gaussian,0.605
10,180,Gaussian,0.6525
10,185,Gaussian,0.63
10,190,Gaussian,0.65
10,195,Gaussian,0.665
10,200,Gaussian,0.675
10,205,Gaussian,0.675
10,210,Gaussian,0.6775
10,215,Gaussian,0.6975
10,220,Gaussian,0.665
10,225,Gaussian,0.685
10,230,Gaussian,0.6925
10,235,Gaussian,0.725
10,240,Gaussian,0.6675
10,245,Gaussian,0.6725
10,250,Gaussian,0.6925
10,255,Gaussian,0.7025
10,260,Gaussian,0.7475
10,265,Gaussian,0.685
10,270,Gaussian,0.72
10,275,Gaussian,0.7025
10,280,Gaussian,0.7125
10,285,Gaussian,0.695
10,290,Gaussian,0.725
10,295,Gaussian,0.7425
10,300,Gaussian,0.725
10,305,Gaussian,0.7225
10,310,Gaussian,0.7325
10,315,Gaussian,0.735
10,320,Gaussian,0.7525
10,325,Gaussian,0.7475
10,330,Gaussian,0.7425
10,335,Gaussian,0.7325
10,340,Gaussian,0.71
10,345,Gaussian,0.725
10,350,Gaussian,0.765
10,355,Gaussian,0.7725
10,360,Gaussian,0.77
10,365,Gaussian,0.75
10,370,Gaussian,0.765
10,375,Gaussian,0.765
10,380,Gaussian,0.77
10,385,Gaussian,0.7775
10,390,Gaussian,0.77
10,395,Gaussian,0.795
10,400,Gaussian,0.745
10,405,Gaussian,0.7825
10,410,Gaussian,0.765
10,415,Gaussian,0.8025
10,420,Gaussian,0.8
10,425,Gaussian,0.78
10,430,Gaussian,0.7875
10,435,Gaussian,0.8025
10,440,Gaussian,0.8025
10,445,Gaussian,0.78
10,450,Gaussian,0.795
10,455,Gaussian,0.7925
10,460,Gaussian,0.76
10,465,Gaussian,0.775
10,470,Gaussian,0.825
10,475,Gaussian,0.8225
10,480,Gaussian,0.81
10,485,Gaussian,0.7675
10,490,Gaussian,0.8075
10,495,Gaussian,0.8175
10,500,Gaussian,0.7725
10,505,Gaussian,0.7525
10,510,Gaussian,0.805
10,515,Gaussian,0.81
10,520,Gaussian,0.795
10,525,Gaussian,0.785
10,530,Gaussian,0.815
10,535,Gaussian,0.7825
10,540,Gaussian,0.795
10,545,Gaussian,0.825
10,550,Gaussian,0.76
10,555,Gaussian,0.8125
10,560,Gaussian,0.7625
10,565,Gaussian,0.83
10,570,Gaussian,0.785
10,575,Gaussian,0.7975
10,580,Gaussian,0.785
10,585,Gaussian,0.8
10,590,Gaussian,0.86
10,595,Gaussian,0.8025
10,600,Gaussian,0.8225
10,605,Gaussian,0.815
10,610,Gaussian,0.8
10,615,Gaussian,0.82
10,620,Gaussian,0.8
10,625,Gaussian,0.83
10,630,Gaussian,0.8175
10,635,Gaussian,0.8275
10,640,Gaussian,0.82
10,645,Gaussian,0.8225
10,650,Gaussian,0.8025
10,655,Gaussian,0.82
10,660,Gaussian,0.8025
10,665,Gaussian,0.8225
10,670,Gaussian,0.805
10,675,Gaussian,0.83
10,680,Gaussian,0.8375
10,685,Gaussian,0.8525
10,690,Gaussian,0.8475
10,695,Gaussian,0.83
10,700,Gaussian,0.8075
10,705,Gaussian,0.85
10,710,Gaussian,0.8175
10,715,Gaussian,0.83
10,720,Gaussian,0.8525
10,725,Gaussian,0.84
10,730,Gaussian,0.8375
10,735,Gaussian,0.825
10,740,Gaussian,0.8175
10,745,Gaussian,0.8475
10,750,Gaussian,0.83
10,755,Gaussian,0.815
10,760,Gaussian,0.8275
10,765,Gaussian,0.8225
10,770,Gaussian,0.8475
10,775,Gaussian,0.8425
10,780,Gaussian,0.825
10,785,Gaussian,0.8325
10,790,Gaussian,0.8125
10,795,Gaussian,0.8525
10,800,Gaussian,0.8275
10,805,Gaussian,0.8425
10,810,Gaussian,0.86
10,815,Gaussian,0.8525
10,820,Gaussian,0.8525
10,825,Gaussian,0.85
10,830,Gaussian,0.835
10,835,Gaussian,0.85
10,840,Gaussian,0.8675
10,845,Gaussian,0.8625
10,850,Gaussian,0.8425
10,855,Gaussian,0.84
10,860,Gaussian,0.84
10,865,Gaussian,0.835
10,870,Gaussian,0.87
10,875,Gaussian,0.8375
10,880,Gaussian,0.8625
10,885,Gaussian,0.84
10,890,Gaussian,0.8575
10,895,Gaussian,0.8775
10,900,Gaussian,0.8525
10,905,Gaussian,0.875
10,910,Gaussian,0.835
10,915,Gaussian,0.8775
10,920,Gaussian,0.8525
10,925,Gaussian,0.8525
10,930,Gaussian,0.8425
10,935,Gaussian,0.84
10,940,Gaussian,0.845
10,945,Gaussian,0.88
10,950,Gaussian,0.875
10,955,Gaussian,0.84
10,960,Gaussian,0.855
10,965,Gaussian,0.875
10,970,Gaussian,0.85
10,975,Gaussian,0.8675
