NSample,Dimension,Distribution,prob
40,100,Uniform,0.005
40,100,Gaussian,0.0075
40,100,GaussianBiased,0.0175
40,100,Bernoulli,0.0175
40,100,Laplacian,0.0125
40,100,Radamacher,0.0075
40,110,Uniform,0.0225
40,110,Gaussian,0.0125
40,110,GaussianBiased,0.0175
40,110,Bernoulli,0.015
40,110,Laplacian,0.015
40,110,Radamacher,0.02
40,120,Uniform,0.015
40,120,Gaussian,0.04
40,120,GaussianBiased,0.03
40,120,Bernoulli,0.03
40,120,Laplacian,0.0225
40,120,Radamacher,0.035
40,130,Uniform,0.0425
40,130,Gaussian,0.0475
40,130,GaussianBiased,0.05
40,130,Bernoulli,0.0875
40,130,Laplacian,0.04
40,130,Radamacher,0.07
40,140,Uniform,0.1275
40,140,Gaussian,0.11
40,140,GaussianBiased,0.115
40,140,Bernoulli,0.125
40,140,Laplacian,0.085
40,140,Radamacher,0.1
40,150,Uniform,0.095
40,150,Gaussian,0.1525
40,150,GaussianBiased,0.15
40,150,Bernoulli,0.155
40,150,Laplacian,0.14
40,150,Radamacher,0.1325
40,160,Uniform,0.18
40,160,Gaussian,0.17
40,160,GaussianBiased,0.225
40,160,Bernoulli,0.1775
40,160,Laplacian,0.1675
40,160,Radamacher,0.1675
40,170,Uniform,0.2575
40,170,Gaussian,0.235
40,170,GaussianBiased,0.2525
40,170,Bernoulli,0.2575
40,170,Laplacian,0.25
40,170,Radamacher,0.2575
40,180,Uniform,0.3175
40,180,Gaussian,0.29
40,180,GaussianBiased,0.31
40,180,Bernoulli,0.3025
40,180,Laplacian,0.295
40,180,Radamacher,0.2975
40,190,Uniform,0.3325
40,190,Gaussian,0.3375
40,190,GaussianBiased,0.375
40,190,Bernoulli,0.425
40,190,Laplacian,0.32
40,190,Radamacher,0.355
40,200,Uniform,0.41
40,200,Gaussian,0.445
40,200,GaussianBiased,0.4775
40,200,Bernoulli,0.4525
40,200,Laplacian,0.355
40,200,Radamacher,0.4675
40,210,Uniform,0.465
40,210,Gaussian,0.4575
40,210,GaussianBiased,0.5225
40,210,Bernoulli,0.53
40,210,Laplacian,0.4225
40,210,Radamacher,0.455
40,220,Uniform,0.515
40,220,Gaussian,0.5625
40,220,GaussianBiased,0.53
40,220,Bernoulli,0.58
40,220,Laplacian,0.4875
40,220,Radamacher,0.55
40,230,Uniform,0.5875
40,230,Gaussian,0.6
40,230,GaussianBiased,0.58
40,230,Bernoulli,0.6325
40,230,Laplacian,0.5
40,230,Radamacher,0.56
40,240,Uniform,0.59
40,240,Gaussian,0.635
40,240,GaussianBiased,0.65
40,240,Bernoulli,0.615
40,240,Laplacian,0.5575
40,240,Radamacher,0.6625
40,250,Uniform,0.64
40,250,Gaussian,0.6975
40,250,GaussianBiased,0.6525
40,250,Bernoulli,0.7075
40,250,Laplacian,0.645
40,250,Radamacher,0.62
40,260,Uniform,0.6825
40,260,Gaussian,0.695
40,260,GaussianBiased,0.7425
40,260,Bernoulli,0.7375
40,260,Laplacian,0.6625
40,260,Radamacher,0.73
40,270,Uniform,0.745
40,270,Gaussian,0.73
40,270,GaussianBiased,0.7925
40,270,Bernoulli,0.7875
40,270,Laplacian,0.7175
40,270,Radamacher,0.735
40,280,Uniform,0.7625
40,280,Gaussian,0.7275
40,280,GaussianBiased,0.7925
40,280,Bernoulli,0.805
40,280,Laplacian,0.725
